,train,val,test
0,KICH_01,KICH_07,KICH_04
1,KICH_02,KIRC_09,KIRC_11
2,KICH_03,KIRC_20,KIRC_22
3,KICH_05,KIRC_25,KIRC_26
4,KICH_06,KIRP_04,KIRP_08
5,KICH_08,KIRP_11,KIRP_14
6,KICH_09,,
7,KICH_10,,
8,KICH_11,,
9,KICH_12,,
10,KIRC_01,,
11,KIRC_02,,
12,KIRC_03,,
13,KIRC_04,,
14,KIRC_05,,
15,KIRC_06,,
16,KIRC_07,,
17,KIRC_08,,
18,KIRC_10,,
19,KIRC_12,,
20,KIRC_13,,
21,KIRC_14,,
22,KIRC_15,,
23,KIRC_16,,
24,KIRC_17,,
25,KIRC_18,,
26,KIRC_19,,
27,KIRC_21,,
28,KIRC_23,,
29,KIRC_24,,
30,KIRC_27,,
31,KIRC_28,,
32,KIRC_29,,
33,KIRC_30,,
34,KIRP_01,,
35,KIRP_02,,
36,KIRP_03,,
37,KIRP_05,,
38,KIRP_06,,
39,KIRP_07,,
40,KIRP_09,,
41,KIRP_10,,
42,KIRP_12,,
43,KIRP_13,,
44,KIRP_15,,
45,KIRP_16,,
46,KIRP_17,,
47,KIRP_18,,
