,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8425925925925926,1.0,0.6666666666666667,1.0
1,1,0.9629629629629629,1.0,0.8333333333333334,1.0
2,2,0.7268518518518517,0.7462962962962963,0.5,0.6666666666666667
3,3,0.5185185185185185,1.0,0.6666666666666667,1.0
4,4,0.7138888888888889,1.0,0.6666666666666667,1.0
5,5,1.0,1.0,0.8333333333333334,0.8333333333333334
6,6,0.6592592592592593,1.0,0.6666666666666667,0.8333333333333334
7,7,0.5833333333333334,0.688888888888889,0.6666666666666667,0.8333333333333334
8,8,0.6675925925925926,1.0,0.5,1.0
9,9,0.9333333333333332,0.8962962962962964,0.6666666666666667,0.6666666666666667
,avg,0.7608333333333334,0.9331481481481483,0.6666666666666667,0.8833333333333334
