,train,val,test
0,KICH_01,KICH_02,KICH_07
1,KICH_03,KIRC_16,KIRC_08
2,KICH_04,KIRC_18,KIRC_28
3,KICH_05,KIRC_27,KIRC_29
4,KICH_06,KIRP_07,KIRP_04
5,KICH_08,KIRP_08,KIRP_17
6,KICH_09,,
7,KICH_10,,
8,KICH_11,,
9,KICH_12,,
10,KIRC_01,,
11,KIRC_02,,
12,KIRC_03,,
13,KIRC_04,,
14,KIRC_05,,
15,KIRC_06,,
16,KIRC_07,,
17,KIRC_09,,
18,KIRC_10,,
19,KIRC_11,,
20,KIRC_12,,
21,KIRC_13,,
22,KIRC_14,,
23,KIRC_15,,
24,KIRC_17,,
25,KIRC_19,,
26,KIRC_20,,
27,KIRC_21,,
28,KIRC_22,,
29,KIRC_23,,
30,KIRC_24,,
31,KIRC_25,,
32,KIRC_26,,
33,KIRC_30,,
34,KIRP_01,,
35,KIRP_02,,
36,KIRP_03,,
37,KIRP_05,,
38,KIRP_06,,
39,KIRP_09,,
40,KIRP_10,,
41,KIRP_11,,
42,KIRP_12,,
43,KIRP_13,,
44,KIRP_14,,
45,KIRP_15,,
46,KIRP_16,,
47,KIRP_18,,
