,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9259259259259259,1.0,0.6666666666666667,1.0
1,1,0.9629629629629629,1.0,0.8333333333333334,1.0
2,2,0.8425925925925926,0.8916666666666666,0.6666666666666667,0.6666666666666667
3,3,0.48148148148148145,1.0,0.6666666666666667,1.0
4,4,0.8592592592592592,1.0,0.8333333333333334,1.0
5,5,0.8379629629629629,1.0,0.8333333333333334,0.8333333333333334
6,6,0.6222222222222222,1.0,0.6666666666666667,0.8333333333333334
7,7,0.5833333333333334,0.7925925925925926,0.6666666666666667,0.8333333333333334
8,8,0.7018518518518518,1.0,0.5,1.0
9,9,0.8916666666666666,0.8842592592592592,0.8333333333333334,0.6666666666666667
,avg,0.7709259259259259,0.956851851851852,0.7166666666666667,0.8833333333333334
